id,name,klass,cluster,PC1,PC2,DrugLikeScore
FA23,FA23,Benzoxazine derivative,3,3.7099221448327913,-0.6024487046309203,0.889
FA21,FA21,Benzoxazine derivative,3,3.4449179713555997,-0.7268159043922712,0.86
FA22,FA22,Benzoxazine derivative,3,3.4588478667767024,-0.744762990217262,0.86
FA20,FA20,Benzoxazine derivative,3,3.4374331817224912,-0.6048012353465694,0.849
FA1,FA1,Hydrocinnamic acid derivative,5,-1.008768124340813,-1.7768859437245057,0.848
FA3,FA3,Cinnamic acid derivative,1,-0.755355025364598,-0.4399487972283656,0.814
FA6,FA6,Cinnamic acid derivative,1,-2.0358343035563475,-2.1824481693863946,0.764
FA5,FA5,Cinnamic acid derivative,1,-1.8038255332917337,-2.0039602818757496,0.764
FA4,FA4,Cinnamic acid derivative,1,-1.5889105756966677,-1.616592151355371,0.752
FA9,FA9,Cinnamic acid derivative,1,-1.0727097052498167,-0.18317103104401147,0.742
FA24,FA24,Benzoxazine derivative,3,3.798202286069696,-0.7833564658979034,0.735
FA16,FA16,Cinnamic acid derivative,1,-0.3707734510348551,2.222257079089749,0.711
FA18,FA18,Cinnamic acid derivative,1,-0.2983381710786455,2.145690970451535,0.709
FA17,FA17,Cinnamic acid derivative,1,-0.440923613486343,2.4004244712777325,0.704
FA19,FA19,Cinnamic acid derivative,1,-0.5018427981880735,2.342856577703716,0.696
FA11,FA11,Cinnamic acid derivative,1,-0.32348005598144725,1.4190737233546393,0.691
FA10,FA10,Cinnamic acid derivative,1,-0.37096451718083084,1.7062022624981892,0.689
FA12,FA12,Cinnamic acid derivative,1,-0.5221248014906319,1.6733718518480678,0.687
FA13,FA13,Cinnamic acid derivative,1,-0.6383819227083657,1.7385956121424395,0.683
FA7,FA7,Cinnamic acid derivative,1,-2.2045251521575016,-2.2125580775681604,0.681
FA14,FA14,Cinnamic acid derivative,1,-0.7798986028588127,1.6942715960063466,0.676
FA8,FA8,Cinnamic acid derivative,1,-2.233215440287927,-2.254024546378126,0.675
FA15,FA15,Cinnamic acid derivative,2,-0.8142448916126541,1.6861819836479375,0.606
FA2,FA2,Cinnamic acid derivative,1,-0.5483152836961578,-0.316270206508157,0.525
CELECOXIB,Celecoxib (COX-2 ref),reference,4,0.463108518504946,-2.5808816224665785,
